Common_Course_ID,has_prereq,Course_Dept,Course_Num,,
BI306,Has pre-req,BI,306,,
BI307,Has pre-req,BI,307,,
BI309,Has pre-req,BI,309,,
BI320,Has pre-req,BI,320,,
BI321,Has pre-req,BI,321,,
BI322,Has pre-req,BI,322,,
BI326,Has pre-req,BI,326,,
BI328,Has pre-req,BI,328,,
BI330,Has pre-req,BI,330,,
BI331,Has pre-req,BI,331,,
BI353,Has pre-req,BI,353,,
BI355,Has pre-req,BI,355,,
BI356,Has pre-req,BI,356,,
BI357,Has pre-req,BI,357,,
BI358,Has pre-req,BI,358,,
BI359,Has pre-req,BI,359,,
BI360,Has pre-req,BI,360,,
BI370,Has pre-req,BI,370,,
BI374,Has pre-req,BI,374,,
BI375,Has pre-req,BI,375,,
BI380,Has pre-req,BI,380,,
BI390,Has pre-req,BI,390,,
BI395,Has pre-req,BI,395,,
BI399,Has pre-req,BI,399,,
BI399L,Has pre-req,BI,399,,
BI410,Has pre-req,BI,410,,
BI412,Has pre-req,BI,412,,
BI420,Has pre-req,BI,420,,
BI421,Has pre-req,BI,421,,
BI422,Has pre-req,BI,422,,
BI423,Has pre-req,BI,423,,
BI424,Has pre-req,BI,424,,
BI425,Has pre-req,BI,425,,
BI426,Has pre-req,BI,426,,
BI427,Has pre-req,BI,427,,
BI428,Has pre-req,BI,428,,
BI432,Has pre-req,BI,432,,
BI433,Has pre-req,BI,433,,
BI442,Has pre-req,BI,442,,
BI448,Has pre-req,BI,448,,
BI451,Has pre-req,BI,451,,
BI452,Has pre-req,BI,452,,
BI454,Has pre-req,BI,454,,
BI455,Has pre-req,BI,455,,
BI457,Has pre-req,BI,457,,
BI458,Has pre-req,BI,458,,
BI459,Has pre-req,BI,459,,
BI461,Has pre-req,BI,461,,
BI463,Has pre-req,BI,463,,
BI464,Has pre-req,BI,464,,
BI466,Has pre-req,BI,466,,
BI468,Has pre-req,BI,468,,
BI471,Has pre-req,BI,471,,
BI472,Has pre-req,BI,472,,
BI474,Has pre-req,BI,474,,
BI476,Has pre-req,BI,476,,
BI480,Has pre-req,BI,480,,
BI484,Has pre-req,BI,484,,
BI485,Has pre-req,BI,485,,
BI486,Has pre-req,BI,486,,
BI487,Has pre-req,BI,487,,
BI488,Has pre-req,BI,488,,
BI489,Has pre-req,BI,489,,
BI493,Has pre-req,BI,493,,
BIOE251,Has pre-req,BIOE,251,,
BIOE252,Has pre-req,BIOE,252,,
BIOE253,Has pre-req,BIOE,253,,
CDS201,Has pre-req,CDS,201,,
CDS431,Has pre-req,CDS,431,,
CDS444,Has pre-req,CDS,444,,
CDS450,Has pre-req,CDS,450,,
CDS451,Has pre-req,CDS,451,,
CDS458,Has pre-req,CDS,458,,
CDS460,Has pre-req,CDS,460,,
CDS462,Has pre-req,CDS,462,,
CDS470,Has pre-req,CDS,470,,
CH111,Has pre-req,CH,111,,
CH113,Has pre-req,CH,113,,
CH221,Has pre-req,CH,221,,
CH222,Has pre-req,CH,222,,
CH223,Has pre-req,CH,223,,
CH224H,Has pre-req,CH,224,,
CH225H,Has pre-req,CH,225,,
CH226H,Has pre-req,CH,226,,
CH227,Has pre-req,CH,227,,
CH228,Has pre-req,CH,228,,
CH229,Has pre-req,CH,229,,
CH237,Has pre-req,CH,237,,
CH238,Has pre-req,CH,238,,
CH239,Has pre-req,CH,239,,
CH331,Has pre-req,CH,331,,
CH335,Has pre-req,CH,335,,
CH336,Has pre-req,CH,336,,
CH337,Has pre-req,CH,337,,
CH338,Has pre-req,CH,338,,
CH339,Has pre-req,CH,339,,
CH341,Has pre-req,CH,341,,
CH342,Has pre-req,CH,342,,
CH343,Has pre-req,CH,343,,
CH348,Has pre-req,CH,348,,
CH349,Has pre-req,CH,349,,
CH360,Has pre-req,CH,360,,
CH411,Has pre-req,CH,411,,
CH412,Has pre-req,CH,412,,
CH413,Has pre-req,CH,413,,
CH418,Has pre-req,CH,418,,
CH419,Has pre-req,CH,419,,
CH420,Has pre-req,CH,420,,
CH421,Has pre-req,CH,421,,
CH429,Has pre-req,CH,429,,
CH437,Has pre-req,CH,437,,
CH441,Has pre-req,CH,441,,
CH442,Has pre-req,CH,442,,
CH443,Has pre-req,CH,443,,
CH444,Has pre-req,CH,444,,
CH445,Has pre-req,CH,445,,
CH446,Has pre-req,CH,446,,
CH447,Has pre-req,CH,447,,
CH451,Has pre-req,CH,451,,
CH453,Has pre-req,CH,453,,
CH454,Has pre-req,CH,454,,
CH461,Has pre-req,CH,461,,
CH462,Has pre-req,CH,462,,
CH463,Has pre-req,CH,463,,
CH464,Has pre-req,CH,464,,
CH465,Has pre-req,CH,465,,
CH466,Has pre-req,CH,466,,
CH468,Has pre-req,CH,468,,
CHN102,Has pre-req,CHN,102,,
CHN103,Has pre-req,CHN,103,,
CHN105,Has pre-req,CHN,105,,
CHN106,Has pre-req,CHN,106,,
CHN201,Has pre-req,CHN,201,,
CHN202,Has pre-req,CHN,202,,
CHN203,Has pre-req,CHN,203,,
CHN204,Has pre-req,CHN,204,,
CHN205,Has pre-req,CHN,205,,
CHN206,Has pre-req,CHN,206,,
CHN301,Has pre-req,CHN,301,,
CHN302,Has pre-req,CHN,302,,
CHN303,Has pre-req,CHN,303,,
CHN305,Has pre-req,CHN,305,,
CHN306,Has pre-req,CHN,306,,
CHN307,Has pre-req,CHN,307,,
CHN308,Has pre-req,CHN,308,,
CHN350,Has pre-req,CHN,350,,
CHN351,Has pre-req,CHN,351,,
CHN381,Has pre-req,CHN,381,,
CHN411,Has pre-req,CHN,411,,
CHN412,Has pre-req,CHN,412,,
CHN420,Has pre-req,CHN,420,,
CHN421,Has pre-req,CHN,421,,
CHN422,Has pre-req,CHN,422,,
CHN439,Has pre-req,CHN,439,,
CHN445,Has pre-req,CHN,445,,
CINE198,Has pre-req,CINE,198,,
CINE270,Has pre-req,CINE,270,,
CINE320,Has pre-req,CINE,320,,
CINE370,Has pre-req,CINE,370,,
CINE408,Has pre-req,CINE,408,,
CINE410,Has pre-req,CINE,410,,
CINE411M,Has pre-req,CINE,411,,
CINE420,Has pre-req,CINE,420,,
CINE425,Has pre-req,CINE,425,,
CINE426,Has pre-req,CINE,426,,
CIS105,Has pre-req,CIS,105,,
CIS111,Has pre-req,CIS,111,,
CIS115,Has pre-req,CIS,115,,
CIS122,Has pre-req,CIS,122,,
CIS210,Has pre-req,CIS,210,,
CIS211,Has pre-req,CIS,211,,
CIS212,Has pre-req,CIS,212,,
CIS313,Has pre-req,CIS,313,,
CIS314,Has pre-req,CIS,314,,
CIS315,Has pre-req,CIS,315,,
CIS322,Has pre-req,CIS,322,,
CIS323,Has pre-req,CIS,323,,
CIS330,Has pre-req,CIS,330,,
CIS333,Has pre-req,CIS,333,,
CIS372M,Has pre-req,CIS,372,,
CIS401,Has pre-req,CIS,401,,
CIS403,Has pre-req,CIS,403,,
CIS405,Has pre-req,CIS,405,,
CIS407,Has pre-req,CIS,407,,
CIS409,Has pre-req,CIS,409,,
CIS413,Has pre-req,CIS,413,,
CIS415,Has pre-req,CIS,415,,
CIS420,Has pre-req,CIS,420,,
CIS422,Has pre-req,CIS,422,,
CIS423,Has pre-req,CIS,423,,
CIS425,Has pre-req,CIS,425,,
CIS427,Has pre-req,CIS,427,,
CIS429,Has pre-req,CIS,429,,
CIS431,Has pre-req,CIS,431,,
CIS432,Has pre-req,CIS,432,,
CIS433,Has pre-req,CIS,433,,
CIS436,Has pre-req,CIS,436,,
CIS441,Has pre-req,CIS,441,,
CIS443,Has pre-req,CIS,443,,
CIS445,Has pre-req,CIS,445,,
CIS451,Has pre-req,CIS,451,,
CIS452,Has pre-req,CIS,452,,
CIS453,Has pre-req,CIS,453,,
CIS455,Has pre-req,CIS,455,,
CIS461,Has pre-req,CIS,461,,
