Common_Course_ID,has_prereq
CIS427,Has pre-req
CIS429,Has pre-req
CIS431,Has pre-req
CIS432,Has pre-req
CIS433,Has pre-req
CIS436,Has pre-req
CIS441,Has pre-req
CIS443,Has pre-req
CIS445,Has pre-req
CIS451,Has pre-req
CIS452,Has pre-req
CIS453,Has pre-req
CIS455,Has pre-req
CIS461,Has pre-req
CIS471,Has pre-req
CIS472,Has pre-req
CIS473,Has pre-req
CIT281,Has pre-req
CIT381,Has pre-req
CIT382,Has pre-req
CIT383,Has pre-req
CRES441,Has pre-req
CRWR235,Has pre-req
CRWR245,Has pre-req
CRWR330,Has pre-req
CRWR335,Has pre-req
CRWR336,Has pre-req
CRWR340,Has pre-req
CRWR345,Has pre-req
CRWR413,Has pre-req
CRWR414,Has pre-req
CRWR417,Has pre-req
CRWR418,Has pre-req
CRWR419,Has pre-req
CRWR435,Has pre-req
CRWR445,Has pre-req
CS111,Has pre-req
CS122,Has pre-req
CS210,Has pre-req
CS211,Has pre-req
CS212,Has pre-req
CS313,Has pre-req
CS314,Has pre-req
CS315,Has pre-req
CS322,Has pre-req
CS330,Has pre-req
CS333,Has pre-req
CS372M,Has pre-req
CS401,Has pre-req
CS402,Has pre-req
CS403,Has pre-req
CS404,Has pre-req
CS405,Has pre-req
CS407,Has pre-req
CS413,Has pre-req
CS415,Has pre-req
CS420,Has pre-req
CS422,Has pre-req
CS423,Has pre-req
CS425,Has pre-req
CS429,Has pre-req
CS431,Has pre-req
CS432,Has pre-req
CS433,Has pre-req
CS434,Has pre-req
CS436,Has pre-req
CS441,Has pre-req
CS443,Has pre-req
CS451,Has pre-req
CS461,Has pre-req
CS471,Has pre-req
CS472,Has pre-req
DAN252,Has pre-req
DAN271,Has pre-req
DAN443,Has pre-req
DAN444,Has pre-req
DAN452,Has pre-req
DAN458,Has pre-req
DAN486,Has pre-req
DAN494,Has pre-req
DANC270,Has pre-req
DANC272,Has pre-req
DANC285,Has pre-req
DANC370,Has pre-req
DANC372,Has pre-req
DANE102,Has pre-req
DANE103,Has pre-req
DANE201,Has pre-req
DANE202,Has pre-req
DANE203,Has pre-req
DSC335,Has pre-req
DSC335H,Has pre-req
DSC433,Has pre-req
DSC444,Has pre-req
DSC466,Has pre-req
DSC477,Has pre-req
DSC488,Has pre-req
DSCI102,Has pre-req
DSCI311,Has pre-req
DSCI345M,Has pre-req
DSCI372M,Has pre-req
DSCI411,Has pre-req
EALL440,Has pre-req
EALL441,Has pre-req
EALL443,Has pre-req
EC311,Has pre-req
EC313,Has pre-req
EC320,Has pre-req
EC327,Has pre-req
EC328,Has pre-req
EC330,Has pre-req
EC333,Has pre-req
EC340,Has pre-req
EC350,Has pre-req
EC360,Has pre-req
EC370,Has pre-req
EC380,Has pre-req
EC390,Has pre-req
EC410,Has pre-req
EC411,Has pre-req
EC412,Has pre-req
EC413,Has pre-req
EC418,Has pre-req
EC419,Has pre-req
EC421,Has pre-req
EC422,Has pre-req
EC423,Has pre-req
EC424,Has pre-req
EC425,Has pre-req
EC427,Has pre-req
EC428,Has pre-req
EC430,Has pre-req
EC432,Has pre-req
EC433,Has pre-req
EC434,Has pre-req
EC435,Has pre-req
EC440,Has pre-req
EC441,Has pre-req
EC443,Has pre-req
EC448,Has pre-req
EC450,Has pre-req
EC451,Has pre-req
EC460,Has pre-req
EC461,Has pre-req
EC462,Has pre-req
EC470,Has pre-req
EC471,Has pre-req
EC480,Has pre-req
EC481,Has pre-req
EC482,Has pre-req
EC484,Has pre-req
EC490,Has pre-req
EC491,Has pre-req
EC493,Has pre-req
EDLD312,Has pre-req
EDLD412,Has pre-req
EDST331,Has pre-req
EDST332,Has pre-req
EDST333,Has pre-req
EDST342,Has pre-req
EDST343,Has pre-req
EDST420,Has pre-req
EDST450,Has pre-req
EDST451,Has pre-req
EDST452,Has pre-req
EDST453,Has pre-req
EDST454,Has pre-req
EDST455,Has pre-req
EDST456,Has pre-req
EDST457,Has pre-req
EDST458,Has pre-req
EDST463,Has pre-req
EDST464,Has pre-req
EDST472,Has pre-req
ENG200,Has pre-req
ENG222,Has pre-req
ENG270,Has pre-req
ENG301,Has pre-req
ENG302,Has pre-req
ENG303,Has pre-req
ENG304,Has pre-req
ENG305,Has pre-req
ENG330,Has pre-req
ENG335,Has pre-req
ENG411,Has pre-req
ENG429,Has pre-req
ENG430,Has pre-req
ENG470,Has pre-req
ENG491,Has pre-req
ENVS335,Has pre-req
ENVS350,Has pre-req
ENVS355,Has pre-req
ENVS435,Has pre-req
ENVS440,Has pre-req
ENVS450,Has pre-req
ENVS455,Has pre-req
ENVS465,Has pre-req
ENVS467,Has pre-req
ENVS477,Has pre-req
ENVS493M,Has pre-req
ENVS494M,Has pre-req
ERTH311,Has pre-req
ERTH315,Has pre-req
ERTH316,Has pre-req
ERTH318,Has pre-req
ERTH331,Has pre-req
ERTH332,Has pre-req
ERTH334,Has pre-req
ERTH337,Has pre-req
ERTH350,Has pre-req
ERTH353,Has pre-req
ERTH363,Has pre-req
ERTH416,Has pre-req
ERTH418,Has pre-req
ERTH423M,Has pre-req
ERTH434,Has pre-req
ERTH435,Has pre-req
ERTH436,Has pre-req
ERTH440,Has pre-req
ERTH451,Has pre-req
ERTH454,Has pre-req
ERTH455,Has pre-req
ERTH456,Has pre-req
ERTH467,Has pre-req
ERTH468,Has pre-req
ERTH474,Has pre-req
ERTH480,Has pre-req
ES301,Has pre-req
ES385,Has pre-req
ES452,Has pre-req
ES498,Has pre-req
ES499,Has pre-req
FHS301,Has pre-req
FHS328,Has pre-req
FHS329,Has pre-req
FHS330,Has pre-req
FHS331,Has pre-req
FHS420,Has pre-req
FHS471,Has pre-req
FHS472,Has pre-req
FHS492,Has pre-req
FHS493,Has pre-req
FHS494,Has pre-req
FHS497,Has pre-req
FIN311,Has pre-req
FIN316,Has pre-req
FIN380,Has pre-req
FIN462,Has pre-req
FIN463,Has pre-req
FIN464,Has pre-req
FIN473,Has pre-req
FINN102,Has pre-req
FINN103,Has pre-req
FINN201,Has pre-req
FINN202,Has pre-req
FINN203,Has pre-req
FR102,Has pre-req
FR103,Has pre-req
FR112,Has pre-req
FR202,Has pre-req
FR203,Has pre-req
FR301,Has pre-req
FR302,Has pre-req
FR303,Has pre-req
FR307,Has pre-req
FR312,Has pre-req
FR317,Has pre-req
FR318,Has pre-req
FR319,Has pre-req
FR320,Has pre-req
FR330,Has pre-req
FR331,Has pre-req
FR333,Has pre-req
FR362,Has pre-req
FR399,Has pre-req
FR407,Has pre-req
FR416,Has pre-req
FR425,Has pre-req
FR450,Has pre-req
FR451,Has pre-req
FR460,Has pre-req
FR480,Has pre-req
FR490,Has pre-req
FR492,Has pre-req
FR497,Has pre-req
GEOG321,Has pre-req
GEOG322,Has pre-req
GEOG323,Has pre-req
GEOG360,Has pre-req
GEOG361,Has pre-req
GEOG393,Has pre-req
GEOG411,Has pre-req
GEOG415,Has pre-req
GEOG416,Has pre-req
GEOG417,Has pre-req
GEOG418,Has pre-req
GEOG421,Has pre-req
GEOG423,Has pre-req
GEOG425,Has pre-req
GEOG427,Has pre-req
GEOG430,Has pre-req
GEOG432,Has pre-req
GEOG433,Has pre-req
GEOG472,Has pre-req
GEOG482,Has pre-req
GEOG485,Has pre-req
GEOG486,Has pre-req
GEOG489,Has pre-req
GEOG490,Has pre-req
GEOG491,Has pre-req
GEOG493,Has pre-req
GEOG494,Has pre-req
GEOG495,Has pre-req
GEOG496,Has pre-req
GEOG497,Has pre-req
GEOG498,Has pre-req
GEOL311,Has pre-req
GEOL315,Has pre-req
GEOL316,Has pre-req
GEOL318,Has pre-req
GEOL331,Has pre-req
GEOL332,Has pre-req
GEOL334,Has pre-req
GEOL350,Has pre-req
GEOL353,Has pre-req
GEOL363,Has pre-req
GEOL414,Has pre-req
GEOL415,Has pre-req
GEOL416,Has pre-req
GEOL418,Has pre-req
GEOL425,Has pre-req
GEOL431,Has pre-req
GEOL433,Has pre-req
GEOL434,Has pre-req
GEOL435,Has pre-req
GEOL440,Has pre-req
GEOL451,Has pre-req
GEOL452,Has pre-req
GEOL453,Has pre-req
GEOL454,Has pre-req
GEOL455,Has pre-req
GEOL462,Has pre-req
GEOL466,Has pre-req
GEOL467,Has pre-req
GEOL468,Has pre-req
GEOL471,Has pre-req
GEOL472,Has pre-req
GER102,Has pre-req
GER103,Has pre-req
GER105,Has pre-req
GER201,Has pre-req
GER202,Has pre-req
GER203,Has pre-req
GER204,Has pre-req
GER205,Has pre-req
GER311,Has pre-req
GER312,Has pre-req
GER313,Has pre-req
GER314,Has pre-req
GER315,Has pre-req
GER317,Has pre-req
GER328,Has pre-req
GER329,Has pre-req
GER340,Has pre-req
GER341,Has pre-req
GER360,Has pre-req
GER361,Has pre-req
GER362,Has pre-req
GER366,Has pre-req
GER367,Has pre-req
GER368,Has pre-req
GER399,Has pre-req
GER411,Has pre-req
GER412,Has pre-req
GER413,Has pre-req
GER425,Has pre-req
GER440,Has pre-req
GER460,Has pre-req
GER471,Has pre-req
GLBL420,Has pre-req
GLBL421,Has pre-req
GLBL422,Has pre-req
HC301H,Has pre-req
HPHY321,Has pre-req
HPHY322,Has pre-req
HPHY323,Has pre-req
HPHY324,Has pre-req
HPHY325,Has pre-req
HPHY333,Has pre-req
HPHY337,Has pre-req
HPHY362,Has pre-req
HPHY371,Has pre-req
HPHY374,Has pre-req
HPHY375,Has pre-req
HPHY381,Has pre-req
HPHY411,Has pre-req
HPHY412,Has pre-req
HPHY413,Has pre-req
HPHY414,Has pre-req
HPHY417,Has pre-req
HPHY419,Has pre-req
HPHY420,Has pre-req
HPHY421,Has pre-req
HPHY422,Has pre-req
HPHY423,Has pre-req
HPHY432,Has pre-req
HPHY433,Has pre-req
HPHY434,Has pre-req
HPHY435,Has pre-req
HPHY436,Has pre-req
HPHY441,Has pre-req
HPHY442,Has pre-req
HPHY443,Has pre-req
HPHY444,Has pre-req
HPHY460,Has pre-req
HPHY462,Has pre-req
HPHY470,Has pre-req
HPHY472,Has pre-req
HPHY473,Has pre-req
HPHY480,Has pre-req
HPHY485,Has pre-req
HPHY486,Has pre-req
IARC444,Has pre-req
IARC445,Has pre-req
IARC447,Has pre-req
IARC471,Has pre-req
IARC472,Has pre-req
IARC473,Has pre-req
IARC484,Has pre-req
IARC486,Has pre-req
IARC487,Has pre-req
IARC488,Has pre-req
IARC489,Has pre-req
IARC492,Has pre-req
ICH102,Has pre-req
ICH103,Has pre-req
ICH201,Has pre-req
ICH202,Has pre-req
ICH203,Has pre-req
INTL420,Has pre-req
INTL421,Has pre-req
INTL422,Has pre-req
ITAL102,Has pre-req
ITAL103,Has pre-req
ITAL105,Has pre-req
ITAL202,Has pre-req
ITAL203,Has pre-req
ITAL301,Has pre-req
ITAL303,Has pre-req
ITAL305,Has pre-req
ITAL306,Has pre-req
ITAL307,Has pre-req
ITAL317,Has pre-req
ITAL318,Has pre-req
ITAL319,Has pre-req
ITAL320,Has pre-req
ITAL407,Has pre-req
ITAL441,Has pre-req
ITAL444,Has pre-req
ITAL449,Has pre-req
ITAL461,Has pre-req
ITAL481,Has pre-req
ITAL491,Has pre-req
J205,Has pre-req
J206,Has pre-req
J207,Has pre-req
J208,Has pre-req
J211,Has pre-req
J212,Has pre-req
J213,Has pre-req
J250,Has pre-req
J314,Has pre-req
J320,Has pre-req
J331,Has pre-req
J333,Has pre-req
J342,Has pre-req
J352,Has pre-req
J361,Has pre-req
J365,Has pre-req
J371,Has pre-req
J385,Has pre-req
J387,Has pre-req
J396,Has pre-req
J397,Has pre-req
J411M,Has pre-req
J412,Has pre-req
J413,Has pre-req
J415,Has pre-req
J416,Has pre-req
J420,Has pre-req
J421,Has pre-req
J428M,Has pre-req
J429,Has pre-req
J430,Has pre-req
J431,Has pre-req
J432,Has pre-req
J434,Has pre-req
J436,Has pre-req
J440,Has pre-req
J443,Has pre-req
J444,Has pre-req
